[INFO]: AT32F421 WK Demo Start
[INFO]: ADC_IIN_RANK_IDX 3089
[
[     637,    3658,    3089,     637]
[     638,    3673,    3089,     638]
[     639,    3670,    3089,     639]
[     640,    3665,    3089,     640]
[     641,    3670,    3089,     641]
[     642,    3663,    3089,     642]
[     643,    3669,    3089,     643]
[     644,    3670,    3089,     644]
[     645,    3662,    3089,     645]
[     646,    3677,    3089,     646]
[     647,    3677,    3089,     647]
[     648,    3660,    3089,     648]
[     649,    3676,    3089,     649]
[     650,    3654,    3089,     650]
[     651,    3643,    3089,     651]
[     652,    3637,    3089,     652]
[     653,    3687,    3089,     653]
[     654,    3676,    3089,     654]
[     655,    3675,    3089,     655]
[     656,    3665,    3089,     656]
[     657,    3677,    3089,     657]
[     658,    3675,    3089,     658]
[     659,    3663,    3089,     659]
[     660,    3673,    3089,     660]
[     661,    3664,    3089,     661]
[     662,    3672,    3089,     662]
[     663,    3669,    3089,     663]
[     664,    3663,    3089,     664]
[     665,    3687,    3089,     665]
[     666,    3671,    3089,     666]
[     667,    3676,    3089,     667]
[     668,    3665,    3089,     668]
[     669,    3667,    3089,     669]
[     670,    3670,    3089,     670]
[     671,    3669,    3089,     671]
[     672,    3671,    3089,     672]
[     673,    3673,    3089,     673]
[     674,    3670,    3089,     674]
[     675,    3675,    3089,     675]
[     676,    3676,    3089,     676]
[     677,    3670,    3089,     677]
[     678,    3678,    3089,     678]
[     679,    3667,    3089,     679]
[     680,    3685,    3089,     680]
[     681,    3672,    3089,     681]
[     682,    3668,    3089,     682]
[     683,    3684,    3089,     683]
[     684,    3683,    3089,     684]
[     685,    3667,    3089,     685]
[     686,    3674,    3089,     686]
[     687,    3680,    3089,     687]
[     688,    3677,    3089,     688]
[     689,    3678,    3089,     689]
[     690,    3674,    3089,     690]
[     691,    3679,    3089,     691]
[     692,    3673,    3089,     692]
